scenario,algorithm,metric_name,mean,std,min,max,replications
high_demand,greedy,max_waiting_time,351.0,29.2472,296.0,401.0,10
high_demand,greedy,critical_late_patients,13.0,3.5777,7.0,18.0,10
high_demand,greedy,total_clinical_impact,143954.23,11216.9585,121736.8,157540.2,10
high_demand,greedy,average_resource_utilization,0.336,0.0118,0.3188,0.3548,10
high_demand,greedy,total_doctor_round_time,65.77,2.415,61.3,68.8,10
high_demand,greedy,number_of_doctor_rounds,31.0,0.0,31.0,31.0,10
high_demand,greedy,average_doctor_round_duration,2.1216,0.0779,1.9774,2.2194,10
high_demand,greedy,total_planning_overhead_time,9.3,0.0,9.3,9.3,10
high_demand,astar,treated_patients,13.8,0.4,13.0,14.0,10
high_demand,astar,untreated_patients,14.2,0.4,14.0,15.0,10
high_demand,astar,number_of_initial_assessments,28.0,0.0,28.0,28.0,10
high_demand,astar,services_started_from_arrival,2.0,0.0,2.0,2.0,10
high_demand,astar,services_started_from_service_end,11.8,0.4,11.0,12.0,10
high_demand,astar,services_started_from_deterioration,0.0,0.0,0.0,0.0,10
high_demand,astar,services_started_from_doctor_round,0.0,0.0,0.0,0.0,10
high_demand,astar,average_time_to_initial_assessment,0.0,0.0,0.0,0.0,10
high_demand,astar,average_time_to_service_start,116.87,14.5984,92.43,139.93,10
high_demand,astar,patients_deteriorated_while_waiting,26.0,0.0,26.0,26.0,10
high_demand,astar,critical_patients_waited,1.8,1.1662,0.0,3.0,10
high_demand,astar,critical_patients_started_immediately,0.3,0.4583,0.0,1.0,10
high_demand,astar,average_waiting_time,116.87,14.5984,92.43,139.93,10
high_demand,astar,max_waiting_time,265.1,23.2914,213.0,295.0,10
high_demand,astar,critical_late_patients,12.6,3.7736,7.0,18.0,10
high_demand,astar,total_clinical_impact,137874.03,12047.5622,114570.5,152578.75,10
high_demand,astar,average_resource_utilization,0.3293,0.0121,0.3115,0.3514,10
high_demand,astar,total_doctor_round_time,85.81,2.8052,80.7,89.2,10
high_demand,astar,number_of_doctor_rounds,31.0,0.0,31.0,31.0,10
high_demand,astar,average_doctor_round_duration,2.7681,0.0905,2.6032,2.8774,10
high_demand,astar,total_planning_overhead_time,31.0,0.0,31.0,31.0,10
high_demand,cpsat,treated_patients,13.1,0.8307,11.0,14.0,10
high_demand,cpsat,untreated_patients,14.9,0.8307,14.0,17.0,10
high_demand,cpsat,number_of_initial_assessments,28.0,0.0,28.0,28.0,10
high_demand,cpsat,services_started_from_arrival,2.0,0.0,2.0,2.0,10
high_demand,cpsat,services_started_from_service_end,11.1,0.8307,9.0,12.0,10
high_demand,cpsat,services_started_from_deterioration,0.0,0.0,0.0,0.0,10
high_demand,cpsat,services_started_from_doctor_round,0.0,0.0,0.0,0.0,10
high_demand,cpsat,average_time_to_initial_assessment,0.0,0.0,0.0,0.0,10
high_demand,cpsat,average_time_to_service_start,153.635,13.0698,120.92,168.85,10
high_demand,cpsat,patients_deteriorated_while_waiting,26.0,0.0,26.0,26.0,10
high_demand,cpsat,critical_patients_waited,1.8,1.1662,0.0,3.0,10
high_demand,cpsat,critical_patients_started_immediately,0.3,0.4583,0.0,1.0,10
high_demand,cpsat,average_waiting_time,153.635,13.0698,120.92,168.85,10
high_demand,cpsat,max_waiting_time,341.3,31.0131,302.0,401.0,10
high_demand,cpsat,critical_late_patients,13.0,3.5777,7.0,18.0,10
